kernel,mode,nnr,ngmt,threads,rep,ms,inputs,lane,alloc
newdxx_g,BaO_nat002,64000,18643,16,16,8.406000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,17,8.432000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,18,8.431000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,19,8.443000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,0,8.624000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,1,8.214000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,2,8.394000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,3,8.373000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,4,8.477000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,5,8.336000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,6,8.405000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,7,8.403000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,8,8.355000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,9,8.383000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,10,8.340000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,11,8.491000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,12,8.116000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,13,8.460000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,14,8.406000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,15,8.408000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,16,8.355000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,17,8.341000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,18,8.390000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,19,8.395000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,0,8.416000,set0,flang-openmp,mimalloc
